FID,x,y,adr_pelny,ogolem
11206,20.07565285,50.09246278,KAROLA DARWINA 20B,9
29447,20.07662338,50.09425324,KAROLA DARWINA 21,3
22157,20.07681855,50.09435353,KAROLA DARWINA 23,4
41711,20.07705001,50.09449255,KAROLA DARWINA 23A,2
20619,20.07647443,50.09345628,KAROLA DARWINA 24,5
22156,20.07725402,50.09457983,KAROLA DARWINA 25,4
47014,20.07657114,50.09369228,KAROLA DARWINA 26,1
28728,20.07671864,50.09347069,KAROLA DARWINA 26A,4
35748,20.07678093,50.09333771,KAROLA DARWINA 26B,3
35655,20.07684663,50.0930914,KAROLA DARWINA 26C,3
33580,20.07773576,50.09483412,KAROLA DARWINA 27,3
26785,20.07760948,50.09516803,KAROLA DARWINA 29B,4
34355,20.07739853,50.09504381,KAROLA DARWINA 29C,3
16471,20.07486208,50.09278188,KAROLA DARWINA 3,6
28827,20.07698822,50.09352687,KAROLA DARWINA 30B,4
43089,20.07862908,50.09543525,KAROLA DARWINA 31,1
38377,20.07833993,50.09561621,KAROLA DARWINA 31A,2
36472,20.07714373,50.09414009,KAROLA DARWINA 34,2
10319,20.0791528,50.09558111,KAROLA DARWINA 35,9
29517,20.07728601,50.09419571,KAROLA DARWINA 36,3
36405,20.07946176,50.09569998,KAROLA DARWINA 37,2
14546,20.07747376,50.094289,KAROLA DARWINA 38A,6
17545,20.07958022,50.09587423,KAROLA DARWINA 39,5
14515,20.08054741,50.09592672,KAROLA DARWINA 41,6
29446,20.08078424,50.09598573,KAROLA DARWINA 43,3
29516,20.0783557,50.09486892,KAROLA DARWINA 44,3
22867,20.08108007,50.09617667,KAROLA DARWINA 45,4
29520,20.07862342,50.0949749,KAROLA DARWINA 46,3
17546,20.08161001,50.09624428,KAROLA DARWINA 47,5
29456,20.08197141,50.09635392,KAROLA DARWINA 47A,3
22793,20.08260029,50.09670183,KAROLA DARWINA 47F,4
11266,20.07888479,50.09512012,KAROLA DARWINA 48,8
22158,20.07503571,50.09309166,KAROLA DARWINA 5,4
14548,20.07914666,50.09517855,KAROLA DARWINA 50,6
22218,20.07929827,50.09530834,KAROLA DARWINA 52,4
42627,20.07954626,50.09536821,KAROLA DARWINA 54,1
14549,20.07993863,50.0954771,KAROLA DARWINA 58,6
17596,20.08022715,50.09561321,KAROLA DARWINA 60,5
40479,20.08079605,50.09562415,KAROLA DARWINA 62B,2
22219,20.08060606,50.09541077,KAROLA DARWINA 62C,4
41726,20.08123842,50.09572556,KAROLA DARWINA 62F,2
47259,20.0820049,50.09595145,KAROLA DARWINA 62GB,1
42196,20.08231417,50.09585311,KAROLA DARWINA 62GG,2
21905,20.08206105,50.09578935,KAROLA DARWINA 62GH,5
42197,20.08193504,50.0957579,KAROLA DARWINA 62GJ,2
