FID,x,y,adr_pelny,ogolem
20871,20.06784841,50.09650067,GEODEToW 24B,5
16783,20.06734412,50.09675435,GEODEToW 24C,6
12548,20.06889455,50.09565431,GEODEToW 25,7
28784,20.06936096,50.09530764,GEODEToW 29,4
12463,20.06957659,50.09507049,GEODEToW 31,8
8669,20.06984178,50.09488437,GEODEToW 33,13
36123,20.06973778,50.09458779,GEODEToW 33A,3
47328,20.0711274,50.09753831,GEODEToW 3A,1
36185,20.07138603,50.09817078,GEODEToW 4A,3
36406,20.07063719,50.0971834,GEODEToW 5,2
29428,20.07098517,50.09775111,GEODEToW 6B,3
42461,20.07030288,50.09701755,GEODEToW 7,1
18057,20.0705486,50.09776542,GEODEToW 8A,5
22159,20.06991296,50.09668838,GEODEToW 9,4
29454,20.07419808,50.10157551,G??BINOWA 10,3
22167,20.07455148,50.1021471,G??BINOWA 11,4
12449,20.07473755,50.10153379,G??BINOWA 12B,8
28580,20.07486028,50.101455,G??BINOWA 12C,4
47005,20.07506838,50.10133257,G??BINOWA 12D,1
16324,20.07476952,50.10180375,G??BINOWA 14,6
22012,20.07486047,50.10199436,G??BINOWA 16,4
36433,20.07254125,50.10056465,G??BINOWA 2,2
22184,20.07301356,50.10116551,G??BINOWA 3,4
21198,20.07223994,50.10161972,G??BINOWA 3B,5
36432,20.07298363,50.10078497,G??BINOWA 4,2
14527,20.07335098,50.10137734,G??BINOWA 5,6
29474,20.07316626,50.10085892,G??BINOWA 6,3
36434,20.07345369,50.10098699,G??BINOWA 6B,2
36418,20.07383182,50.10168179,G??BINOWA 7,2
31247,20.07356734,50.10151509,G??BINOWA 7A,3
42601,20.07357537,50.10120971,G??BINOWA 8A,1
17541,20.0739462,50.10141252,G??BINOWA 8B,5
41333,20.07416037,50.10110045,G??BINOWA 8C,2
36417,20.07426355,50.10197483,G??BINOWA 9,2
36410,20.07312188,50.09553364,GR?BA?OWSKA 11,2
17543,20.07504524,50.09692397,GR?BA?OWSKA 14,5
36411,20.07322642,50.09597142,GR?BA?OWSKA 15,2
21857,20.07293733,50.09586762,GR?BA?OWSKA 15A,5
17429,20.07284526,50.09604416,GR?BA?OWSKA 17,5
27417,20.07534762,50.09426602,GR?BA?OWSKA 1B,4
41557,20.07557523,50.09419475,GR?BA?OWSKA 1C,2
35136,20.07561135,50.09416728,GR?BA?OWSKA 1D,3
47189,20.07578127,50.09404313,GR?BA?OWSKA 1E,1
28978,20.0758149,50.09401778,GR?BA?OWSKA 1F,4
47190,20.07598034,50.09388779,GR?BA?OWSKA 1G,1
42585,20.07534268,50.09463663,GR?BA?OWSKA 2,1
13762,20.07385809,50.09733693,GR?BA?OWSKA 20,7
28931,20.0735474,50.09616735,GR?BA?OWSKA 21,4
22165,20.07330317,50.09618297,GR?BA?OWSKA 21A,4
36413,20.07356591,50.09634225,GR?BA?OWSKA 21B,2
36412,20.07292879,50.09636318,GR?BA?OWSKA 23,2
11244,20.07279569,50.09752915,GR?BA?OWSKA 24,8
14502,20.07241804,50.0974058,GR?BA?OWSKA 26,6
36396,20.07302842,50.09668212,GR?BA?OWSKA 27,2
17527,20.07311625,50.09710915,GR?BA?OWSKA 27A,5
8697,20.07204879,50.0977374,GR?BA?OWSKA 28,12
26711,20.07281188,50.09718735,GR?BA?OWSKA 29,4
36403,20.0744998,50.0948507,GR?BA?OWSKA 3,2
22136,20.07212994,50.09796201,GR?BA?OWSKA 30,4
22135,20.07175417,50.09722639,GR?BA?OWSKA 31,4
17553,20.07219102,50.09828385,GR?BA?OWSKA 32A,5
22134,20.07191968,50.09740911,GR?BA?OWSKA 33,4
14518,20.07196814,50.09847494,GR?BA?OWSKA 34,6
36407,20.07177038,50.09780008,GR?BA?OWSKA 35,2
36408,20.07247888,50.09891803,GR?BA?OWSKA 36,2
22160,20.0716892,50.09840239,GR?BA?OWSKA 37,4
42587,20.07185443,50.09867022,GR?BA?OWSKA 39,1
22162,20.07298794,50.09900871,GR?BA?OWSKA 40,4
16414,20.0719525,50.09882557,GR?BA?OWSKA 41,6
36409,20.07332925,50.0991409,GR?BA?OWSKA 42,2
22161,20.0722358,50.09891733,GR?BA?OWSKA 43,4
29448,20.07362575,50.09917499,GR?BA?OWSKA 44,3
22163,20.07264165,50.09911313,GR?BA?OWSKA 45,4
33686,20.07418106,50.0992138,GR?BA?OWSKA 46,3
36402,20.07456254,50.09929312,GR?BA?OWSKA 48,2
29441,20.07414518,50.09948216,GR?BA?OWSKA 49,3
11226,20.07390395,50.09545096,GR?BA?OWSKA 4A,8
36395,20.07432022,50.09503356,GR?BA?OWSKA 5,2
17542,20.07454567,50.09973548,GR?BA?OWSKA 51,5
14511,20.07542272,50.09955479,GR?BA?OWSKA 52,6
36400,20.07495525,50.09973894,GR?BA?OWSKA 53,2
10721,20.07492691,50.09988804,GR?BA?OWSKA 53A,9
22152,20.07550221,50.09961257,GR?BA?OWSKA 54,4
45508,20.07564261,50.09974119,GR?BA?OWSKA 56,1
6264,20.07539196,50.10006456,GR?BA?OWSKA 57,22
36422,20.07523054,50.10052587,GR?BA?OWSKA 59A,2
20095,20.07502192,50.1006958,GR?BA?OWSKA 59B,5
12546,20.07462782,50.1009221,GR?BA?OWSKA 59C,7
14500,20.07415082,50.09561202,GR?BA?OWSKA 6,6
26051,20.07587241,50.09992949,GR?BA?OWSKA 60,4
36401,20.07585399,50.10036594,GR?BA?OWSKA 61,2
40066,20.07620586,50.09996163,GR?BA?OWSKA 62,2
22153,20.07642198,50.10026258,GR?BA?OWSKA 62A,4
29438,20.07594123,50.10042569,GR?BA?OWSKA 63,3
14228,20.07634246,50.10134147,GR?BA?OWSKA 64,7
29439,20.0761282,50.1005496,GR?BA?OWSKA 65,3
28230,20.07632589,50.10070047,GR?BA?OWSKA 65A,4
29314,20.07627031,50.10139286,GR?BA?OWSKA 66,3
32981,20.07586994,50.10135113,GR?BA?OWSKA 67,3
41935,20.07609299,50.10150239,GR?BA?OWSKA 68C,2
41936,20.07621955,50.10158047,GR?BA?OWSKA 68D,2
35704,20.07638482,50.1016937,GR?BA?OWSKA 68E,3
21737,20.07645543,50.10173897,GR?BA?OWSKA 68F,5
12545,20.07565375,50.10155052,GR?BA?OWSKA 69,7
42589,20.07413909,50.09516338,GR?BA?OWSKA 7,1
34592,20.07542544,50.10198468,GR?BA?OWSKA 72,3
13765,20.07383383,50.10266446,GR?BA?OWSKA 73B,7
17551,20.07523207,50.10211267,GR?BA?OWSKA 74,5
29399,20.07347851,50.10295099,GR?BA?OWSKA 75,3
14520,20.07460767,50.10246663,GR?BA?OWSKA 78,6
14481,20.07281559,50.10335918,GR?BA?OWSKA 79,6
22168,20.07401,50.10287733,GR?BA?OWSKA 82,4
32982,20.07383522,50.10306141,GR?BA?OWSKA 84A,3
36421,20.07358425,50.10315072,GR?BA?OWSKA 84B,2
42141,20.07337685,50.103291,GR?BA?OWSKA 84C,2
14433,20.0736491,50.10350253,GR?BA?OWSKA 84D,6
17428,20.07394064,50.10375788,GR?BA?OWSKA 84I,5
29401,20.07306549,50.10344906,GR?BA?OWSKA 86,3
12245,20.07461995,50.09577154,GR?BA?OWSKA 8A,8
40815,20.07481993,50.09581052,GR?BA?OWSKA 8B,2
14435,20.07368469,50.09532402,GR?BA?OWSKA 9A,6
